1,2,2,2,1,1,4,0.47519,1,0,0.017133
2,1,2,3,1,1,2,0.36288,1,0,0.51506
3,2,0,0,2,2,2,0,0,0,0
4,1,2,2,2,1,3,0,0,0,0
5,2,0,0,1,1,2,0,0,0,0
6,2,0,0,1,1,1,0,0,0,0
7,2,0,0,1,1,4,0,0,0,0
8,1,2,3,2,2,1,0,0,0,0
9,2,2,2,2,1,4,0,0,0,0
10,1,1,2,2,2,1,0,0,0,0
11,1,2,1,2,1,2,0,0,0,0
12,2,0,0,1,2,3,0,0,0,0
13,1,2,3,1,1,3,0,0,0,0
14,1,2,3,1,1,1,0,0,0,0
15,2,0,0,2,1,4,0,0,0,0
16,1,2,1,1,2,3,0,0,0,0
17,2,0,0,1,1,1,0,0,0,0
18,2,1,2,2,1,3,0,0,0,0
19,2,2,3,2,2,4,0,0,0,0
20,2,1,3,1,2,4,0,0,0,0
21,2,0,0,1,2,2,0,0,0,0
22,2,2,3,1,2,2,0,0,0,0
23,1,1,1,2,2,2,0,0,0,0
24,1,2,2,1,2,1,0,0,0,0
25,2,0,0,2,1,3,0,0,0,0
26,2,2,2,1,1,1,0,0,0,0
27,2,1,2,1,2,2,0,0,0,0
28,1,1,3,2,2,2,0,0,0,0
29,1,2,3,2,1,4,0,0,0,0
30,1,1,2,1,2,1,0,0,0,0
31,2,2,1,1,1,4,0,0,0,0
32,2,0,0,1,2,1,0,0,0,0
33,2,0,0,2,2,1,0,0,0,0
34,2,0,0,2,2,2,0,0,0,0
35,2,0,0,2,2,3,0,0,0,0
36,2,2,3,1,1,1,0,0,0,0
37,2,0,0,2,1,1,0,0,0,0
38,2,0,0,1,1,4,0,0,0,0
39,2,2,1,1,2,3,0,0,0,0
40,1,1,1,1,2,2,0,0,0,0
41,2,0,0,1,2,4,0,0,0,0
42,2,1,3,2,1,4,0,0,0,0
43,2,1,3,1,2,1,0,0,0,0
44,1,1,1,1,1,1,0,0,0,0
45,2,0,0,2,2,3,0,0,0,0
46,1,1,3,1,2,4,0,0,0,0
47,2,2,1,2,1,1,0,0,0,0
48,1,2,1,1,2,1,0,0,0,0
49,2,2,2,1,1,3,0,0,0,0
50,2,2,2,1,2,3,0,0,0,0
51,1,1,1,1,1,3,0,0,0,0
52,1,1,1,2,1,1,0,0,0,0
53,2,2,3,1,2,3,0,0,0,0
54,2,0,0,1,2,4,0,0,0,0
55,1,2,3,1,1,4,0,0,0,0
56,2,2,1,1,1,1,0,0,0,0
57,2,1,2,1,1,2,0,0,0,0
58,2,0,0,1,1,1,0,0,0,0
59,1,2,2,1,1,3,0,0,0,0
60,2,2,2,2,2,3,0,0,0,0
61,1,1,1,1,1,2,0,0,0,0
62,1,1,2,2,2,4,0,0,0,0
63,1,1,2,2,1,4,0,0,0,0
64,1,1,1,1,2,4,0,0,0,0
